address,name,social,index,initial_balance_usd,total_usd_sold
0x3b8dd5e9565d0f2242affe65e698663a51f02573,furk_art,https://x.com/furk_art,165,1300.0,57079.38
0x81bc6188e92c7d95ea643b174213affe4305bfe6,elliotherium,https://x.com/elliotherium,166,1300.0,6770.61
0xcac7a85cc3666c698f06de0ba2a9ac08af2a130f,fouljpeg,https://x.com/fouljpeg,167,1300.0,23890.24
0xa4674f1d9d37880fe12eb79584ca338c199c226a,John37776913161,https://x.com/John37776913161,168,199.99958641368968,4420.95
0xe6a2ea81b45d2bdfbf763339cae6315856d71589,Penelope_Avax,https://x.com/Penelope_Avax,169,1300.0,10402.3
0xf820fe335130468169df696fe30d1d3e740a7d0a,jaywurrly,https://x.com/jaywurrly,170,1300.0,493.86
0x34d4075d46291e0b5c673cc58a96a6602e94ce08,PolyPup1,https://x.com/PolyPup1,171,1300.0,12427.48
0x43f3163f4f718d6dc7b28ba96da4536d3a1cba38,GuruWendall,https://x.com/GuruWendall,172,1300.0,59592.63
0x01311ead40f868a9ca5bab0c7c0991d1ee2294fa,cryptofishx,https://x.com/cryptofishx,173,1300.0,0.0
MASKED,MASKED,MASKED,174,1300.0,0.0
0x38825dfe90ad489de51baaffdb648b6d6e9910a2,piovincenzo_,https://x.com/piovincenzo_,175,1300.0,74532.57
0x48850f239f16c22d9eb0c302431b144db0ba8c28,b4ochan,https://x.com/b4ochan,176,1300.0,43869.94
0xca1b7d12e162b7ac5929112d2e4c99aa5e317644,possiblyspam,https://x.com/possiblyspam,177,1300.0,26146.74
MASKED,MASKED,MASKED,178,1300.0,5252.24
MASKED,MASKED,MASKED,179,1300.0,6722.42
MASKED,MASKED,MASKED,180,1300.0,475.2
MASKED,MASKED,MASKED,181,1300.0,0.0
0xcfdc5748b125d232cc53a860b5c9aac1f9651806,xLuisCumbi,https://x.com/xLuisCumbi,182,1300.0,87809.19
